county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
Cooke County,Texas,Summer,Report 2394: Four friends saw and heard 8 foot creature plow through the trees while they were out fishing,33.48028,-97.04361,5/30/1990,2394,Class A,9vfyrwyuzb,90.11,,,69.64,0.78,0.83,0.23,,,rain,,Humid and mostly cloudy throughout the day.,6,8.8,151,6.31
Cooke County,Texas,Fall,"Report 6235: Biology teacher's experiences around ""the 1893 Bridge.""",33.81861,-96.96333,5/24/2004,6235,Class B,9y503s3rwt,83.43,77.725,72.02,68.14,0.75,0.63,0.17,0,0,,,Mostly cloudy throughout the day and breezy in the evening.,5,10,165,11.91
Cooke County,Texas,Fall,Report 11592: Youth has sighting near bridge.,33.77528,-97.05903,12/27/2004,11592,Class A,9y4bpkeg28,57.36,50.325,43.29,27.4,0.5,0,0.54,,,rain,,Breezy in the afternoon.,3,10,146,7.56
Coryell County,Texas,Winter,Report 15696: Possible stalking of hunter near Gatesville,31.37756,-97.59946,12/1/2004,15696,Class B,9vdde045x9,57.38,46.025,34.67,31.45,0.69,0.03,0.65,0,0,,1025.93,Clear throughout the day.,4,9.66,176,4.28
Delta County,Texas,Summer,Report 638: Series of encounters with bigfoot in close proximity to Sulphur River,33.24722,-95.77,12/15/2003,638,Class B,9vgvhsqrj7,70.02,54.915,39.81,46.27,0.69,0.38,0.72,0.0031,0.42,rain,,Mostly cloudy throughout the day and breezy until evening.,2,9.31,182,12.32
Delta County,Texas,Fall,Report 7568: US Air Force retiree encounters bigfoot in Sulphur River bottoms near Cooper Lake,33.26222,-95.82056,12/16/2003,7568,Class A,9vgv5x1w7p,46.91,36.715,26.52,27.51,0.55,0.26,0.75,0,0,,,Mostly cloudy in the morning.,3,9.92,308,9.96
Uintah County,Utah,Winter,"Report 10123: Night time road crossing northwest of Vernal,  Utah.",40.5,-109.9,12/25/2004,10123,Class A,9x1y7hv387,45.65,33.505,21.36,6.52,0.38,0.07,0.47,0,0,,1027.69,Clear throughout the day.,2,9.83,300,1.3
Tooele County,Utah,Summer,,,,,24500,Class A,,,,,,,,,,,,,,,,,
Sevier County,Utah,Fall,Report 24530: Possible protest attack on an elk hunter's camper (vehicle) in Fishlake National Forest,38.8204,-111.6631,9/4/1988,24530,Class B,9wbsg513jp,,,,,,,,,,,,,,,,
Sanpete County,Utah,Summer,Report 14732: Possible vocalizations heard near Huntington Reservoir,39.48,-111.23,8/15/2005,14732,Class B,9x0bsghg9j,65.92,56,46.08,45.8,0.77,0.27,0.35,0.0009,0.52,rain,1015.49,Mostly cloudy starting in the evening.,10,9.91,138,0.25
San Juan County,Utah,Summer,Report 33098: Man recalls his encounter that included stomping and tree shaking at Dodge Point,37.75705,-109.3125,8/16/1978,33098,Class B,9wdqb93nf0,,,,,,,,,,,,,,,,
Salt Lake County,Utah,Summer,Report 28095: Man recalls possible encounter at a family cabin in Big Cottonwood Canyon outside Salt Lake City,40.60779,-111.6508,8/1/1964,28095,Class B,9x0x526meb,79.03,61.585,44.14,48.66,0.51,0.53,0.77,0,0,,1006.25,Breezy until afternoon and partly cloudy throughout the day.,8,10,167,14.97
Rich County,Utah,Fall,,,,,523,Class B,,,,,,,,,,,,,,,,,
Piute County,Utah,Spring,,,,,396,Class B,,,,,,,,,,,,,,,,,
Morgan County,Utah,Fall,Report 25233: Bowhunter recalls hearing possible intimidation at night while returning to camp in Farmington Canyon,40.9744,-111.8189,8/22/1977,25233,Class B,9x23p7pvnv,80.1,67.38,54.66,49.1,0.56,0.24,0.28,0,0,,1010.01,Partly cloudy starting in the afternoon.,8,10,159,4.92
Millard County,Utah,Winter,,,,,1950,Class C,,,,,,,,,,,,,,,,,
Garfield County,Utah,Spring,Report 2115: White creature in Utah desert exhibits scouting behavior on ridge above hikers,37.8058,-111.3481,5/19/1994,2115,Class A,9w8z44qf9p,,,,,,,,,,,,,,,,
Emery County,Utah,Fall,Report 177: Elk hunters hear screams in remote canyon below,39.64175,-111.2186,10/19/1988,177,Class B,9x0ct0t1fv,60.45,48.93,37.41,28.76,0.51,0,0.3,,,rain,,"Breezy starting in the afternoon, continuing until evening.",5,6,331,11.16
Duchesne County,Utah,Summer,"Report 20430: Possible camp stalking at Betsy Lake, Grandaddy Basin, Uinta Mountains",40.61087,-110.8139,8/17/1985,20430,Class B,9x1pn2gz2y,,,,,,,,,,,,,,,,
Daggett County,Utah,Fall,Report 17195: Possible vocalizations heard by elk hunters in the Uintah Mountains (north slope),40.915,-109.725,10/3/1989,17195,Class B,9x3bz0kenh,,,,,,,,,,,,,,,,
Carbon County,Utah,Fall,,,,,18189,Class A,,,,,,,,,,,,,,,,,
Daggett County,Utah,Summer,Report 12396: Possible vocalization heard near Hoop Lake.,40.9,-109.75,8/10/2004,12396,Class B,9x3bwtd7z8,79.11,61.875,44.64,16.11,0.16,,0.83,0,0,,,Breezy in the evening.,0,,301,4.88
Daggett County,Utah,Winter,Report 25265: Man watches a bigfoot in his headlights near Flaming Gorge,40.86765,-109.5143,12/7/2008,25265,Class A,9x607zwp7f,47.86,38.34,28.82,20.54,0.54,0,0.32,0.0005,0.61,snow,1019.49,Clear throughout the day.,2,10,226,0.58
Davis County,Utah,Spring,,,,,1949,Class A,,,,,,,,,,,,,,,,,
Davis County,Utah,Winter,Report 29690: Driver and passengers have late night sighting on mountain road in Bountiful Canyon,40.91689,-111.8038,3/4/2004,29690,Class A,9x22zbdynt,28.15,23.985,19.82,21.62,0.93,0.89,0.42,0.0002,0.33,snow,1010.82,Foggy starting in the evening.,4,5.55,289,1.05
Duchesne County,Utah,Summer,Report 21162: Possible vocalizations heard from the Swift Creek Campground on the south slope of the Uintas,40.61125,-110.3583,8/22/2007,21162,Class B,9x1x09p99j,72.84,60.78,48.72,28.53,0.3,,0.31,0,0,,,Clear throughout the day.,0,,222,1.94
Duchesne County,Utah,Summer,Report 29148: Backpackers startle a figure with long white/blonde hair watching Boy Scouts at Grandaddy Lake,40.60353,-110.8055,7/11/2009,29148,Class B,9x1nyx9usw,65.2,55.18,45.16,36.86,0.51,,0.63,0.0004,0.47,rain,,Clear throughout the day.,0,,295,0.88
Emery County,Utah,Fall,,,,,2351,Class B,,,,,,,,,,,,,,,,,
Emery County,Utah,Summer,Report 24602: Bow-hunters near Huntington Canyon hear yelling creature approach their camp from a distance at night,39.58375,-111.1339,8/22/1996,24602,Class B,9x0cpn4b03,78,63.955,49.91,28.04,0.26,,0.28,,,rain,,Clear throughout the day.,0,,5,0.45
Garfield County,Utah,Fall,Report 17287: Evening road crossing north of Panquitch.,38,-112.5,11/20/1997,17287,Class A,9qzbpvxypc,43.65,,,23.25,0.52,0.51,0.71,,,rain,1015.38,Breezy and partly cloudy throughout the day.,3,10,313,16.75
Millard County,Utah,Winter,,,,,22890,Class A,,,,,,,,,,,,,,,,,
Morgan County,Utah,Fall,Report 16744: Possible vocalizations heard near East Canyon Reservoir,40.9,-111.625,10/15/2006,16744,Class B,9x28evt5ub,56.35,48.26,40.17,38.17,0.76,0.38,0.8,0,0,,1005,Mostly cloudy starting in the afternoon.,4,10,161,1.43
Salt Lake County,Utah,Summer,Report 38797: Woman recalls childhood experience of a terrifying night-time encounter while camping near Kennecott Copper mine,40.4871,-112.1402,7/17/1970,38797,Class B,9x0q24myry,90.86,74.28,57.7,51.27,0.46,0.43,0.45,0,0,,1011.36,Breezy starting in the evening and light rain overnight.,10,10,154,2.93
Summit County,Utah,Summer,"Report 19983: Fisherman describes possible howls and camp stalking at Round Lake, Uinta Mountains",40.77988,-110.9325,7/19/1986,19983,Class B,9x1pgxv2j2,,,,,,,,,,,,,,,,
Summit County,Utah,Summer,,,,,1951,Class A,,,,,,,,,,,,,,,,,
Summit County,Utah,Summer,Report 18056: Possible late night sighting by camper near the UT/WY border,40.825,-110.825,6/13/2001,18056,Class B,9x30npgwy7,,,,,,,,,,,,,,,,
Summit County,Utah,Fall,Report 25154: Two elk hunters & tall bipedal creature startle each other at Chalk Creek east of Coalville,40.92128,-111.0837,10/15/2004,25154,Class A,9x30b1rrdp,57.61,48.74,39.87,22.47,0.4,0,0.05,0,0,,1011.68,Clear throughout the day.,5,10,247,4.45
Summit County,Utah,Summer,,,,,15211,Class B,,,,,,,,,,,,,,,,,
Uintah County,Utah,Summer,Report 12289: Possible early morning vocalizations in the Uinta mountains.,40.65,-110,8/2/2005,12289,Class B,9x1z2bh7qj,62.08,53.585,45.09,50.25,0.87,0.32,0.93,0.0003,0.7,rain,1015.68,Overcast in the morning.,11,10,188,0.73
Uintah County,Utah,Summer,Report 17259: Possible morning vocalizations heard north of Vernal.,40.75,-109.575,7/9/2007,17259,Class B,9x4pfd3cvq,75.39,62.345,49.3,30.93,0.32,0.05,0.83,0,0,,1010,Clear throughout the day.,12,9.08,297,4.74
Cache County,Utah,Fall,Report 16470: Husband and wife recall daylight sighting while scouting for deer near Cave Spring off of Monte Cristo,41.43135,-111.4988,10/19/1977,16470,Class A,9x2ewy351e,63.31,47.825,32.34,24.39,0.57,0.32,0.25,,,rain,,Partly cloudy throughout the day.,4,10,204,5.19
Box Elder County,Utah,Fall,,,,,1436,Class A,,,,,,,,,,,,,,,,,
Beaver County,Utah,Winter,,,,,1434,Class C,,,,,,,,,,,,,,,,,
Washington County,Virginia,Fall,Report 37817: Possible incidents outside a home near Meadowview,36.76377,-81.9107,11/16/2012,37817,Class B,dntc0hdkqr,54.44,41.175,27.91,26.09,0.65,0,0.1,0,0,,,Clear throughout the day.,3,10,57,0.46
Warren County,Virginia,Fall,Report 36850: Honeymooners feel bone rattling growl while hiking the Appalachian Trail,38.9593,-78.02081,10/17/2012,36850,Class B,dqbt8s6fr7,62.61,52.595,42.58,41.92,0.86,0.09,0.08,0,0,,1014.44,Partly cloudy until afternoon.,5,9.18,158,0.58
Virginia Beach City County,Virginia,Spring,Report 35467: Unexplained loud banging and whoops heard by a homeowner near Virginia Beach,36.7586,-76.0418,5/19/2012,35467,Class B,dq9cjesn3e,70.78,66.485,62.19,49.9,0.62,0.22,0.96,0,0,,1018.99,Partly cloudy until afternoon.,8,9.66,28,7.27
Tazewell County,Virginia,Summer,,,,,45604,Class B,,,,,,,,,,,,,,,,,
Surry County,Virginia,Summer,Report 2286: Howling vocalization sounds heard by campers.,37.1694,-76.77447,7/24/1998,2286,Class B,dq97kyqx3n,87.83,80.285,72.74,69.55,0.71,0.8,0.04,,,rain,1014.96,Humid and mostly cloudy throughout the day.,6,6.49,74,1.3
Stafford County,Virginia,Fall,Report 30258: Nighttime road crossing observed by a father and daughter near Quantico Marine Corp Base,38.48342,-77.34673,9/13/2003,30258,Class A,dqbfzvty4t,78.93,74.34,69.75,67.36,0.9,0.93,0.6,0.007,1,rain,1017.88,Light rain in the morning.,4,6.87,30,2.71
Smyth County,Virginia,Fall,Report 42643: Couple on their porch observe a tall biped chase a deer near Chilhowie,36.73225,-81.62195,9/12/2011,42643,Class B,dntbywusye,75.74,63.565,51.39,56.88,0.81,0.44,0.52,0,0,,,Mostly cloudy starting in the afternoon.,6,10,279,0.54
Shenandoah County,Virginia,Summer,Report 24569: A couple remembers their daylight sighting while driving thru the Shenandoah National Park many years ago,38.73048,-78.33453,9/16/1970,24569,Class A,dqbk36wt3h,,,,,,,,,,,,,,,,
Scott County,Virginia,Fall,"Report 12727: Bow hunter is escorted from woods by foul-smelling, acorn-throwing bipeds",36.8778,-82.4179,10/16/2004,12727,Class B,dnt3u93hg8,56.18,45.145,34.11,36.55,0.7,0.59,0.09,0.0036,1,rain,1008.47,Light rain in the morning.,4,9.58,248,5.99
Rockingham County,Virginia,Fall,Report 17326: Recollection of a college outing interrupted by possible vocalizations and rocks thrown near Rawley Springs,38.54602,-79.16096,11/18/1995,17326,Class B,dnzeq9hdzf,51.27,37.765,24.26,32.38,0.82,0.72,0.86,,,rain,,Mostly cloudy throughout the day.,3,10,200,3.51
Roanoke County,Virginia,Spring,"Report 4077: Night sighting on the edge of Salem, within a few miles of Roanoke River",37.2423,-80.13276,4/4/2002,4077,Class A,dnx5bec057,55.23,42.485,29.74,21.98,0.43,0.22,0.75,0,0,,1024.63,Partly cloudy in the morning.,8,10,347,4.73
Prince William County,Virginia,Summer,Report 679: Marine had late night sighting on military base in Quantico,38.52019,-77.36115,7/1/1957,679,Class A,dqbgps7k6e,80.19,69.415,58.64,56.53,0.58,0.18,0.14,0,0,,1010.21,Partly cloudy until evening.,9,9.87,324,8.1
Prince George County,Virginia,Fall,Report 40645: Memory told of observing a hairy biped close to Civil War fortifications near Fort Lee,37.248,-77.354,9/19/1981,40645,Class A,dq8gzub934,69.55,61.535,53.52,48.53,0.66,0.39,0.7,0,0,,1013.14,Mostly cloudy until afternoon and breezy in the afternoon.,5,8.83,274,8.88
Prince William County,Virginia,Spring,,,,,27682,Class B,,,,,,,,,,,,,,,,,
Rockingham County,Virginia,Summer,Report 28449: Possible wood knock interaction by kayaking fishermen on Switzer Lake,38.56546,-79.14478,8/21/2010,28449,Class B,dnzerh8s0f,83.13,75.175,67.22,64.85,0.8,0.14,0.41,0,0,,,Mostly cloudy starting in the evening.,8,8.28,192,2.09
Rockingham County,Virginia,Winter,Report 31631: Nature photogapher hears possible woodknocks on Skyline Drive,38.36885,-78.5367,12/28/2011,31631,Class B,dqb4kbg6f2,39.03,30.525,22.02,23.69,0.65,0.41,0.14,0,0,,1008.09,Mostly cloudy in the morning.,2,10,276,3.03
Rockingham County,Virginia,Spring,Report 34583: Driver passes tall bipedal figure at night along Route 33,38.58125,-79.14795,3/16/2012,34583,Class B,dnzeqzw0p4,63.28,51.875,40.47,50.1,0.91,0.57,0.81,0,0,,,Mostly cloudy until evening.,4,10,222,0.7
Rockingham County,Virginia,Summer,Report 42064: Driver has possible daylight sighting on US Route 33 outside Rawley Springs,38.57716,-79.11095,8/31/2013,42064,Class B,dnzeryc0jr,82.1,71.285,60.47,67.52,0.91,0.4,0.85,0.0013,0.5,rain,,Mostly cloudy starting in the afternoon.,7,7.75,201,0.97
Rockingham County,Virginia,Summer,Report 46206: Hikers observe a tall human-like figure near Rawley Springs,38.51591,-79.02109,8/7/2014,46206,Class B,dnzg1gde7n,79.14,68.145,57.15,60.23,0.8,0.43,0.38,0,0,,,Foggy in the morning.,9,6.76,37,0.84
Scott County,Virginia,Spring,,,,,24621,Class B,,,,,,,,,,,,,,,,,
Shenandoah County,Virginia,Winter,Report 30006: Hikers startled by encounter at remote cabin near Woodstock,38.9766,-78.6205,2/16/2002,30006,Class A,dqbjdzqr1s,48.57,37.95,27.33,28.12,0.58,0.42,0.13,,,rain,,Mostly cloudy starting in the evening.,4,10,263,7.95
Shenandoah County,Virginia,Spring,Report 45570: Early morning road crossing near Woodstock,38.90323,-78.48832,4/3/2014,45570,Class A,dqbjmfne9x,65.52,57.67,49.82,47.38,0.7,0.85,0.14,0.0005,0.29,rain,,Mostly cloudy throughout the day.,6,10,150,1.11
Warren County,Virginia,Spring,Report 40959: Morning commuter sees tall biped at close range near Middletown,38.98773,-78.20517,4/23/2013,40959,Class A,dqbmu3kxzr,59.99,50.825,41.66,39.08,0.7,0.42,0.42,0,0,,,Overcast in the morning.,8,9.7,68,0.68
Warren County,Virginia,Fall,Report 42128: Residents hear possible activity near Linden,38.89625,-78.1268,9/15/2013,42128,Class B,dqbmq0vg1d,73.41,65.295,57.18,51.09,0.81,0.17,0.36,0,0,,,Mostly cloudy overnight.,7,8.28,199,0.9
Warren County,Virginia,Summer,,,,,46502,Class B,,,,,,,,,,,,,,,,,
Beaver County,Utah,Summer,"Report 15336: Daytime sighting at Labaron Lake, Fishlake National Forest.",38.225,-112.35,8/15/2006,15336,Class A,9wb17qthz2,67.5,57.87,48.24,42.44,0.55,,0.73,0,0,,,Clear throughout the day.,0,,238,1.26
Cache County,Utah,Fall,Report 20254: Possible interacting vocalizations heard by hunter near Hyrum,41.6359,-111.6149,10/7/1978,20254,Class B,9x2su5sd8q,,,,,,,,,,,,,,,,
Cache County,Utah,Fall,Report 23822: ATV riders descibe dusk encounter in the Monte Cristo Range,41.5343,-111.5281,9/20/1999,23822,Class A,9x2sq15dyf,65.5,47.505,29.51,42.21,0.84,0.17,0.34,,,rain,1020.18,Clear throughout the day.,7,8.87,201,0.23
Cache County,Utah,Winter,Report 29013: Driver sees a Bigfoot cross the road while snowplowing Logan Canyon,41.96181,-111.5333,1/5/2005,29013,Class A,9x2wtyzvm8,22.63,19.67,16.71,17.22,0.94,1,0.83,0,0,,1017.45,"Foggy starting in the afternoon, continuing until evening.",1,6.57,51,1.67
Cache County,Utah,Fall,Report 23908: Camper describes possible stalking at a camp near Scare Canyon,41.49955,-111.6348,9/7/2006,23908,Class B,9x2s5dy02s,68.08,59.36,50.64,44.63,0.59,0.2,0.5,0.0001,0.38,rain,1011.72,Mostly cloudy overnight.,8,9.93,139,0.98
Cache County,Utah,Winter,Report 26948: Daylight sighting by hunter near rural homes in the Wellsville Mountains,41.7086,-112.0179,10/21/2006,26948,Class A,9x2m6bz41w,46.72,36.135,25.55,27.86,0.75,0.49,0.98,0,0,,1024.63,Foggy in the morning.,4,5.9,4,0.41
Pittsylvania County,Virginia,Fall,Report 30462: Witness remembers several incidents including a close encounter on a dark road near Danville,36.5587,-79.36079,10/15/1976,30462,Class A,dnrxfp71ze,76.43,,,46.04,0.6,0.02,0.73,,,rain,1013.98,Clear throughout the day.,5,8.69,228,5.88
Nottoway County,Virginia,Spring,Report 33256: Second witness reports possible activity while training at Fort Pickett,37.047,-77.90815,4/16/2011,33256,Class B,dq8dg0jn2t,67.94,56.655,45.37,55.63,0.83,0.77,0.45,0.041,1,rain,,"Heavy rain until afternoon, starting again in the evening.",5,9.16,152,3.7
Montgomery County,Virginia,Summer,"Report 2284: While driving home, witnesses observe 5-6 ft. tall hairy creature in middle of road",37.02759,-80.38748,5/30/1998,2284,Class A,dnwfdsxt7g,85.22,73.66,62.1,64.41,0.79,0.09,0.17,0,0,,1015.22,"Partly cloudy starting in the afternoon, continuing until evening.",11,6.94,201,0.97
Middlesex County,Virginia,Summer,Report 4103: Daytime sighting on Route 17 near Church View,37.72693,-76.6658,8/1/1978,4103,Class A,dq9qx7vxm3,,,,,,0.69,0.92,,,rain,1016.63,Mostly cloudy starting in the evening.,9,,230,0.28
Mecklenburg County,Virginia,Spring,Report 7392: Youth catches standing figure in flashlight glow during camp-out,36.63931,-78.55758,5/16/1970,7392,Class A,dq80kmup7w,,,,,,,,,,,,,,,,
Louisa County,Virginia,Winter,Report 7294: Witnesses in van catch brief glimpse of bipedal figure walking along road near Louisa,38.02516,-77.97089,12/15/1998,7294,Class A,dqb83dr2de,50.81,41.825,32.84,21.69,0.59,0,0.9,,,rain,1026.33,Clear throughout the day.,2,,183,1.5
Loudoun County,Virginia,Spring,Report 35477: Memory told of a nighttime sighting while joy riding on train tracks near Purcellville,39.14588,-77.67422,5/15/1970,35477,Class A,dqby8qr372,64.35,59.85,55.35,54.52,0.85,0.99,0.32,,,rain,1024.83,Overcast throughout the day.,5,8.67,114,6.6
Highland County,Virginia,Winter,Report 31956: Possible dusk sighting from a roadway while walking a dog outside of Monterey,38.44714,-79.65548,1/7/2012,31956,Class B,dnz6erhduf,46.4,37.69,28.98,33.01,0.7,,0.45,0.0005,0.59,rain,,Clear throughout the day.,0,,253,6.94
Henry County,Virginia,Winter,,,,,27472,Class B,,,,,,,,,,,,,,,,,
Halifax County,Virginia,Spring,Report 19906: Traveller observes lumbering figure along roadside near Danville,36.589,-79.1345,4/19/2003,19906,Class B,dnx8pkb42e,53.1,51.76,50.42,45.43,0.87,1,0.61,,,rain,1026.08,Light rain in the morning.,4,5.6,31,5.69
Greene County,Virginia,Summer,"Report 2283: While out hiking in the woods with his dog, witness smelled a horrible smell.",38.36911,-78.53718,7/1/1993,2283,Class A,dqb4kbfur0,67.13,,,54.81,0.74,1,0.42,,,rain,,Foggy until afternoon.,5,2.42,52,3.92
Grayson County,Virginia,Fall,Report 36072: Vacationing family observes & photographs a large hair covered figure in Grayson Highlands State Park,36.62492,-81.48593,10/14/2011,36072,Class A,dnw03erg85,56.87,49.715,42.56,44.14,0.78,0.64,0.58,0.0084,1,rain,,Rain in the morning.,4,9.63,285,6.22
Giles County,Virginia,Summer,Report 22865: Hairy creature seen watching a college party on Butt Mountain,37.3557,-80.5378,8/11/1990,22865,Class A,dnwsx26htp,,,,,,,,,,,,,,,,
Franklin County,Virginia,Fall,Report 13212: Possible pre-dawn vocalization heard by hunter near Ferrum,36.94165,-80.04166,11/13/2003,13212,Class B,dnx44t52wn,45.65,38.555,31.46,21.67,0.4,0.24,0.64,0.0002,1,rain,1014.11,Breezy throughout the day and partly cloudy until afternoon.,3,10,295,17.47
Floyd County,Virginia,Summer,"Report 55306: Young lady has a daylight sighting while at home, looking out a window near Floyd",36.9846,-80.3755,8/2/2016,55306,Class A,dnwf7hb6gj,81.17,74.375,67.58,69.31,0.89,0.71,0.99,0.0016,0.47,rain,,Overcast starting in the afternoon.,7,9.66,134,0.06
Fairfax County,Virginia,Summer,Report 23400: Upright creature crosses road in the path of a car near Newington Forest,38.741,-77.23238,6/13/1973,23400,Class A,dqch6s94ej,87.8,76.435,65.07,67.81,0.68,0.86,0.43,0,0,,1012.32,Mostly cloudy throughout the day.,5,7.38,301,4.22
Fairfax County,Virginia,Summer,Report 33887: Retired Military Policeman remembers strange incidents while on guard duty at Fort Belvoir,38.70819,-77.17868,7/15/1978,33887,Class B,dqch5y85w3,87.48,80.78,74.08,68.4,0.75,0.94,0.33,0,0,,1012.58,Overcast throughout the day.,5,4.39,200,1.75
Fairfax County,Virginia,Summer,Report 2280: A loud screaming sound was witnessed along with crashing and rocks thrown at the witnesses,38.80319,-77.34879,8/15/1995,2280,Class B,dqbuxzukfw,89.88,80.755,71.63,71.87,0.74,0.35,0.67,0,0,,1014.65,Partly cloudy until evening and humid throughout the day.,8,7.2,123,3.37
Franklin County,Virginia,Winter,Report 10082: Hunter has daylight encounter near Gills Creek,37.06266,-79.82829,12/21/2004,10082,Class A,dnx4z7ncdh,54.42,41.815,29.21,21.44,0.56,0.44,0.35,0,0,,1021.18,Mostly cloudy throughout the day.,2,10,255,1.86
Franklin County,Virginia,Summer,Report 31505: Husband and wife hear loud scream from inside their home in the town of Rocky Mount,37.01115,-79.908,7/28/2007,31505,Class B,dnx4t9sv8d,83.79,75.545,67.3,65.67,0.73,0.36,0.45,0,0,,1011.65,"Mostly cloudy starting in the afternoon, continuing until evening.",8,7.62,135,0.66
Franklin County,Virginia,Fall,Report 36591: Runner shadowed by possible biped keeping pace through heavy forest near Wirtz,37.12815,-79.8871,10/4/2012,36591,Class B,dnx5nngzps,76.49,64.44,52.39,58.48,0.74,0.25,0.64,0,0,,1022.23,"Partly cloudy starting in the afternoon, continuing until evening.",5,9.96,299,0.86
Giles County,Virginia,Spring,Report 2281: Shocked hikers watch hairy human-like animal run by them 10 feet away,37.29854,-80.82856,3/29/1997,2281,Class A,dnws0tyrwp,65.95,55.185,44.42,46.08,0.68,0.38,0.68,,,rain,1008.55,Light rain in the morning and breezy until afternoon.,7,9.61,268,8.84
Giles County,Virginia,Spring,Report 40534: Strange encounter experienced by LEO's camped near Goldbond,37.41095,-80.6275,5/28/2005,40534,Class B,dnwsv62ye4,70.08,56.57,43.06,46.99,0.71,0.39,0.68,0,0,,1013.31,Mostly cloudy until evening.,8,9.44,283,3.24
Giles County,Virginia,Summer,Report 51869: Close daylight encounter in a laurel thicket near Pearisburg,35.8525,-80.6585,8/17/2015,51869,Class A,dnqeuwdrbw,90.65,80.54,70.43,68.94,0.75,0.31,0.1,0.0006,0.23,rain,,Mostly cloudy starting in the afternoon.,8,10,197,0.17
Montgomery County,Virginia,Summer,"Report 40362: ATV rider hears an unknown long, brassy howl outside Christiansburg",37.15814,-80.36054,8/15/2012,40362,Class B,dnwg7k7jze,74.81,66.74,58.67,63.73,0.85,0.34,0.93,0.0008,0.54,rain,1013.66,Mostly cloudy until evening.,7,8.67,293,0.65
Nottoway County,Virginia,Spring,Report 31648: Possible encounters by soldiers training at Fort Pickett,37.047,-77.90815,1/16/2012,31648,Class B,dq8dg0jn2t,45.69,43.365,41.04,20.34,0.62,0.17,0.76,0.0003,0.92,rain,,Mostly cloudy starting in the evening.,3,10,193,2.12
Chesterfield County,Virginia,Spring,Report 14952: Driver sees running figure along road at night near Woodlake,37.44378,-77.6257,6/2/2006,14952,Class A,dq8v186ty4,88.54,79.09,69.64,67.76,0.76,0.62,0.21,0.0025,0.91,rain,1011.47,Light rain in the evening.,7,7.63,208,2.9
Chesapeake City County,Virginia,Summer,Report 4788: Screams heard in the Great Dismal Swamp,36.5884,-76.28729,7/21/2000,4788,Class B,dq9b0h9qck,81.65,74.04,66.43,68.77,0.82,0.71,0.66,0,0,,1013.49,Mostly cloudy throughout the day.,8,8.56,200,3.25
Carroll County,Virginia,Winter,Report 17730: Late night sighting by motorists on Hwy 94 near the Wythe County border,36.74465,-80.98215,12/22/1992,17730,Class A,dnw3j1nt55,,,,,,,,,,,,,,,,
Caroline County,Virginia,Fall,Report 34337: Large man-like figure seen in the trees by a Marine training at Fort A. P. Hill,38.0735,-77.2265,11/15/2008,34337,Class B,dqc0dej6hn,73.87,56.585,39.3,58.67,0.85,0.92,0.59,0.028,1,rain,1002.17,Rain in the morning.,2,8.23,197,4.42
Brunswick County,Virginia,Winter,Report 36202: Memory told of a tall hairy figure seen in a corn field near Lawrenceville,36.91355,-77.95074,12/20/1980,36202,Class B,dq89fpyj00,,,,,,,,,,,,,,,,
Botetourt County,Virginia,Fall,Report 18623: Memory told of an early morning encounter with hairy biped near Buchanan,37.54,-79.57,11/18/1972,18623,Class A,dnxmt3fyke,,,,27.81,0.68,0.53,0.41,0,0,,1022.73,Mostly cloudy throughout the day.,2,10,189,0.88
Bath County,Virginia,Summer,Report 1769: A sighting by two motorists,38.05408,-79.77946,7/1/1992,1769,Class A,dnz22xd35f,,,,,,,,,,,,,,,,
Augusta County,Virginia,Summer,Report 38411: Campers experience strange events in Ramsey's Draft Wilderness Area,38.3331,-79.35755,7/15/2000,38411,Class B,dnzd44md7p,77.43,65.725,54.02,61.7,0.84,0.32,0.47,,,rain,,"Partly cloudy starting in the afternoon, continuing until evening.",10,8.24,319,1.01
Amherst County,Virginia,Fall,Report 9842: Man Sees Large Animal By Roadside,37.585,-79.052,12/7/2003,9842,Class A,dnxvc4hh6z,42.05,31.09,20.13,16.63,0.48,0.09,0.46,0,0,,1018.52,Clear throughout the day.,2,10,314,4.37
Amelia County,Virginia,Summer,Report 31594: Memory told of a possible sighting of two juveniles tree climbing at sundown near Farmville,37.303,-78.193,8/30/1980,31594,Class B,dq8khwv9ep,,,,,,,,,,,,,,,,
Accomack County,Virginia,Summer,Report 20257: Campers awakened by strange howls while camping near Sanford,37.92735,-75.6561,6/21/2007,20257,Class B,dqdpy2kyv4,82.22,75.155,68.09,54.82,0.58,0.06,0.22,0,0,,1015.53,Clear throughout the day.,11,8.52,299,3.31
Windham County,Vermont,Fall,Report 49993: Couple have possible early morning sighting while driving outside Brattleboro,42.86222,-72.60887,4/5/2016,49993,Class B,drs7gdzfd8,33.45,23.965,14.48,8.54,0.55,0.03,0.93,0.0019,0.48,snow,1024.47,Light snow (< 1 in.) in the afternoon.,7,5.89,348,1.56
Washington County,Vermont,Fall,,,,,55476,Class B,,,,,,,,,,,,,,,,,
Rutland County,Vermont,Summer,,,,,6406,Class B,,,,,,,,,,,,,,,,,
Lamoille County,Vermont,Winter,,,,,1180,Class B,,,,,,,,,,,,,,,,,
Chittenden County,Vermont,Winter,,,,,1178,Class A,,,,,,,,,,,,,,,,,
